TARGET_PERIOD,period_dt,actual,full_gcsr,bates_granger_mv,var_error,cov_only,recent_best,graph_only,equal,median,rs_selection,bates_granger,mult_tilt
2013-11-01,2013-11-01,11.5,12.266962688648622,12.207453102766028,12.501075855411269,12.273384338364481,12.5,12.315792068360404,12.206178074863637,12.1,11.5,12.220604980675994,12.27338433907693
2014-02-01,2014-02-01,11.4,12.310984369948885,12.199999998780001,12.6661561813004,12.2645036075061,12.7,12.166270352141815,12.318636363636365,12.2,12.5,12.318901358603343,12.26450360834839
2014-05-01,2014-05-01,11.1,12.390998329783585,12.378771788317358,12.42796812059702,12.399508037125164,12.5,11.959551718289317,12.328136363636364,12.4,11.5,12.346908880617281,12.399508037941008
2014-08-01,2014-08-01,10.8,12.043901258130454,12.245855053210434,11.998316660373261,12.044253205469957,11.8,11.549668830148793,11.924224581736365,12.0,11.2,11.950749723741726,12.044253206365656
2014-11-01,2014-11-01,10.9,11.880235503794625,12.019023261965845,12.072619479019716,11.932047316304072,11.3,11.468819301018566,11.86157818770909,11.9,11.3,11.880156534806321,11.92666193635225
2015-02-01,2015-02-01,10.6,11.653936910202592,11.699104482685225,11.72326406824129,11.667210891566278,11.45,11.441074423051647,11.630181818181818,11.6,11.45,11.636035777761386,11.66488518905972
2015-05-01,2015-05-01,10.3,11.310649961216502,11.35544835805893,11.299999998870002,11.310936826155128,11.2,11.289957571046527,11.271545454545453,11.2,11.1,11.27527266355967,11.310923260457583
2015-08-01,2015-08-01,10.0,11.294191298838335,11.297552964374091,11.254789028339284,11.294316666010776,11.2,11.20364190693984,11.242517269825452,11.2,11.2,11.248098099410097,11.294316666861286
2015-11-01,2015-11-01,9.8,11.138433023933132,10.960949349917016,11.348041556366836,11.144899600172488,10.8,10.891089653106436,11.098486116909092,11.0695,10.7,11.10747473122349,11.144653015911764
2016-02-01,2016-02-01,9.6,10.694207780696972,10.933124250730398,10.899557030096888,10.847055640349051,10.6,10.626239687007178,10.79265138830909,10.8,10.5,10.80342342810762,10.84025903717908
